description,commit messages,linked issue titles,original,T5,BART,Llama3,DeepSeek-V2,BlueLM
" currently, the decisions regarding which translog generation files to delete are hard coded in the interaction between the internalengine and the translog classes. this pr extracts it to a dedicated class called translogdeletionpolicy, for two main reasons: simplicity - the code is easier to read and understand (no more two phase commit on the translog, the engine can just commit and the translog will respond) preparing for future plans to extend the logic we need - i.e., retain multiple lucene commit and also introduce a size based retention logic, allowing people to always keep a certain amount of translog files around. the latter is useful to increase the chance of an ops based recovery. ", wip  wip  extract interfaces  java doc tweak  wip  translog tests compile  translog tests pass  remove ontranslogrollover as it's not needed for now  simplification and removal of future stuff  update java docs  tell combineddeletionpolicy of open mode so it can be smarter.  introducing indexcommitref  # conflicts:  #	core/src/main/java/org/elasticsearch/index/engine/internalengine.java  #	core/src/main/java/org/elasticsearch/index/shard/indexshard.java  #	core/src/test/java/org/elasticsearch/index/engine/internalenginetests.java  a little test to test translog min reference advance  some java docs ,,introducing a translog deletion policy,extract translog files to a dedicated class,extract translogdeletionpolicy to a dedicated class,enable a default translog retention policy, Extract Translog Deletion Policy for Simplicity and Future Expansion,extract translog deletion policy into a util class
" bugfix yes if relevant, link to documentation update: summary fixes #3484 no other information "," fix(ruleset): allow array of functions returning either string or loader objects  beautify, remove comments, debuggers ", crash with rule.use as a function returning array ,normalize mixed use array and function,allow array of functions returning either string or loader objects,allow array of functions returning string or loader objects,fix crash with rule.use as a function returning array, fix rule.use handling to support array of functions returning string or loader objects,fix crash with rule.use as a function returning array
" when running a custom install of chrome, and not downloading chromium (with the puppeteer_skip_chromium_download, image snapshots are unable to start up.  i ran across this issue when running storyshots inside a docker container already containing a chrome installation. add a config parameter to use a chrome executable path, instead of downloading chromium inside of puppeteer.  if no parameter is selected, defaults to undefined and operates as normal. add a parameter and check if it references the correct chrome.  in my case: /usr/local/bin/chrome ", feature: add config to supply executable chrome path to puppeteer  update readme ,,feature/config custom chrome executable path,add config parameter to use executable chrome path to puppeteer,fix image snapshots not starting when installing chrome,specify custom chrome executable path for puppeteer, add config for custom chrome executable path in puppeteer,feature: add config to supply executable chrome path to puppeteer
 cherry-pick #20781 #20780 #20912 #20824 ," [cherry-pick]fix bug in reshape: (#20781)  consider the situation that shape of input can contain more than one -1.  [cherry-pick]support tensor for split and concat, support -1 in num_or_sections, add check num_or_sections (#20780)  * improve split and concat op:  1. support tensor for argument 'dim' in split op.  2. support tensor for argument 'axis' in concat op.  * redefine function getdatafromtensor and set unknown output shape to - 1.  * add check: attr(sections) match input(x).  * support tensor for attr(sections) and attr(sections) can contain -1.  * modify error message and fix bug for concat and call resize only when necessary.  test=release/1.6 ",,"reshape,concat, split and squeeze",fix bug in reshape,"support tensor for split and concat, add check num_or_sections",[cherry-pick]fix reshape and split/concat ops, [cherry-pick]improve split and concat op support for tensors and -1 in num_or_sections,[cherry-pick]enhance split and concat op
" in underscore 1.1.4, a test case below will fail: var o = function(str) { return str; }; var fasto = _.memoize(o); equals(o('tostring'), 'tostring', 'checks hasownproperty'); equals(fasto('tostring'), 'tostring', 'checks hasownproperty'); i have fix the bug by changing code ""key in memo"" to ""hasownproperty.call(memo, key)"". hope to merge^o^ ", remove unused code and avoid variable redeclaration  bug fix for _.memoize when key is derived from prototype ,,bug fix for _.memoize and other little code change,fix for _.memoize when key is derived from prototype,bug fix for _.memoize when key is derived from prototype,fix bug in _.memoize when key is derived from prototype, fix _.memoize bug with prototype property checks,fix for _.memoize when key is derived from prototype
" fix: some refactor about datazoom and axis scale extent calculation: the ""scale extent calculation"" is depended by both coord sys and ""datazoom"". so it need to be performed in different stage of workflow and should avoid to call it repleatly or implement it repeatly. but previously, the ""scale extent calculation"" is implemented both in axishelper.ts and datazoom/axisproxy.ts, where different code implements similar logic. ""scale extent calculation"" is based on input of: (i) option specified min/max/scale (including callback) and (ii) dataextent and (iii) some filter related components like datazoom. currently we need add more filters depends on that axis scale calculation. e.g., (i) one axis min max effect the other axis extent (ii) custom filter. so we refactor that ""scale extent calculation"" as a reusable module (see scalerawextentinfo.ts). based on (1), make the callback of axis.min/axis.max consistent whatever it is called in ""data processing stage"" or ""coord sys updating stage"" based on (1), fix some ""inconsistent"" flaw in datazoom when handling stacked series. fix the type of axis.min/max to scaledatavalue. and enable the callback of axis.min/max to return scaledatavalue. remove some code that never used. make the ""data filter"", which will ""block stream"", not as the default data processor in the register api. feature: enable category axis min/max to shrink the other axis extent in cartesian. after this modification, if some data if out of the range of a category axis, the data item will not be filtered, but the extent of the other axis will be calculated based on the filtered data. if datazoom is used in either of the xaxis or yaxis in that cartesian, the shrink will not be performed. "," fix: some refactor about datazoom and axis scale extent calculation:  (1) the ""scale extent calculation"" is depended by both coord sys and ""datazoom"".  so it need to be performed in different stage of workflow and should avoid to call it repleatly or implement it repeatly.  but previously, the ""scale extent calculation"" is implemented both in axishelper.ts and datazoom/axisproxy.ts,  where different code implements similar logic.  ""scale extent calculation"" is based on input of:  (i) option specified min/max/scale (including callback) and  (ii) dataextent and  (iii) some filter related components like datazoom.  currently we need add more filters depends on that axis scale calculation.  e.g.,  (i) one axis min max effect the other axis extent  (ii) custom filter.  so we refactor that ""scale extent calculation"" as a reusable module (see scalerawextentinfo.ts).  (2) based on (1), make the callback of axis.min/axis.max consistent whatever it is called in  ""data processing stage"" or ""coord sys updating stage""  (3) based on (1), fix some ""inconsistent"" flaw in datazoom when handling stacked series.  (4) fix the type of axis.min/max to scaledatavalue. and enable the callback of axis.min/max to return scaledatavalue.  (5) remove some code that never used.  (6) make the ""data filter"", which will ""block stream"", not as the default data processor in the register api.  feature: enable category axis min/max to shrink the other axis extent in cartesian.  after this modification, if some data if out of the range of a category axis,  the data item will not be filtered, but the extent of the other axis will be calculated  based on the filtered data.  if datazoom is used in either of the xaxis or yaxis in that cartesian, the shrink will not be performed. ",,extent filtered by other axis,refactor about datazoom and axis scale extent calculation,some refactor about datazoom and axis scale extent calculation,fix/refactor: improve datazoom and axis scale extent calculation, Refactor DataZoom and Axis Scale Extent Calculation for Consistency and Efficiency,fix: some refactor about datazoom and axis scale extent calculation
" working on fixing:  my code follows the code style of this project: c, python i have read the pr checklist document and have made the appropriate changes. i have read the contributing document. "," convert tabs to spaces  use grid alignment for keycodes and macro arguments  rework layout macro  update layout macro to resemble the assembled layout.  use human-friendly formatting in info.json  update readme  update maintainer's account name, and add bootloader and flashing instructions. ",,misonoworks karina layout macro rework,update layout macro to resemble the assembled layout,update layout macro and add bootloader and flashing instructions,layout macro rework and updates, Layout Macro and Keycode Refinement with JSON Data Fix,ergocheap handwired layout macro refactor
 use updated fs api fix bug where file.m_file didn't exist in del() if we used file.close() first fs.removetree now removes tree as well as all tree contents (files). this is for a functionality sync between phantomjs and pyphantomjs all tests will now pass successfully , use updated fs api  fix bug where file.m_file didn't exist in __del__() if we used file.close() first  fs.removetree now removes tree as well as all tree contents (files). this is for a functionality sync between phantomjs and pyphantomjs  all tests will now pass successfully  regenerate resources ,,update and sync fs api,use updated fs api fix bug where file.m_file didn't exist in del(),use updated fs api and regenerate resources,remove fs api updates and bug fixes for phantomjs and pyphantomjs, update fs api and fix file deletion bug for phantomjs and pyphantomjs,update fs api and fix pyphantomjs file removal
 bpo-30320: test_eintr now uses pthread_sigmask() (#1523) test_eintr: fix resourcewarning warnings test_eintr: remove unused import bpo-25277: add a watchdog to test_eintr , bpo-30320: test_eintr now uses pthread_sigmask() (#1523)  rewrite sigwaitinfo() and sigtimedwait() unit tests for eintr using  pthread_sigmask() to fix a race condition between the child and the  parent process.  remove the pipe which was used as a weak workaround against the race  condition.  sigtimedwait() is now tested with a child process sending a signal  instead of testing the timeout feature which is more unstable  (especially regarding to clock resolution depending on the platform).  (cherry picked from commit 211a392cc15f9a7b1b8ce65d8f6c9f8237d1b77f)  test_eintr: fix resourcewarning warnings  (cherry picked from commit c50cccfcc3b3a9ef3fe7a78b7e7271930dc24aee)  test_eintr: remove unused import  bpo-25277: add a watchdog to test_eintr  set a timeout of 10 minutes in test_eintr using faulthandler. ,,backport test_eintr enhancements from master to 3.5,fix resourcewarning warnings in test_eintr,rewrite sigwaitinfo() and sigtimedwait() unit tests,backport test_eintr fixes from master to 3.6, Backport fixes for zombie processes and child reaping from master to 3.6,backport test_eintr updates from master to 3.6
 add or edit tests to reflect the change. (run with npm test.) follow the advice from the readme. avoid common mistakes. run npm run lint package-name (or tsc if no tslint.json is present). provide a url to documentation or source code which provides context for the suggested changes: , upgrade to viewer v7.2  release notes:  upgrade to viewer v7.4  release notes:  added getdefaultgeometry method  added getdefaultgeometry method  added missing methods to navigation class:  - getworldpoint  - screentoviewport  added missing method to viewer3dimpl class:  - viewporttoray  added missing methods to navigation and viewer3dimpl classes  getdocumentnode returns any rather than object  added interface to specify api endpoint  move properties to top of the class  update type definitions for viewer. ,,add missing members and properties,add missing methods to navigation class,upgrade to viewer v7.2 and v7-3.0,[@types/forge-viewer] upgrade to viewer v7.4, Update type definitions for viewer and add missing methods to navigation and viewer3dimpl classes,[@types/forge-viewer]upgrade to viewer v7.4
" closes #24014 xref #10633 tests added / passed passes git diff upstream/master -u -- ""*.py"" | flake8 --diff whatsnew entry before this change, when the series.interpolate() method was called with invalid arguments,  exceptions with informative messages would be raised internally, but then caught and suppressed.  an exception with a potentially misleading message would be raised instead. for example, when interpolate is called with method='spline', an order argument must also be supplied.  this is checked internally, but when the order argument was missing, a confusing error would be raised: >>> import pandas as pd >>> s = pd.series([0, 1, pd.np.nan, 3, 4]) >>> s.interpolate(method='spline') traceback (most recent call last): ... valueerror: invalid method 'spline' to interpolate. this problem was reported as issues #10633 and #24014. after this change, a specific and correct exception (previously caught and discarded internally) is raised: >>> import pandas as pd >>> s = pd.series([0, 1, pd.np.nan, 3, 4]) >>> s.interpolate(method='spline') ... valueerror: you must specify the order of the spline or polynomial. in addition, light validation is now performed on the order parameter before it is passed to a scipy class.  previously, pandas would check if order was truthy in the python sense.  if order was non-zero and invalid, a scipy error would propagate to the user: >>> s.interpolate(method='spline', order=-1) traceback (most recent call last): ... dfitpack.error: (1<=k && k<=5) failed for 3rd argument k: fpcurf0:k=-1 after this change, a more understandable exception is raised in this case: >>> s.interpolate(method='spline', order=-1) traceback (most recent call last): ... valueerror: order needs to be specified and greater than 0 ", bug: raise accurate exception from series.interpolate (#24014)  actually validate order before use in spline ," unnecessary bare except at class block, function interpolate hides actual error ",fix exceptions when series.interpolate's order parameter is missing or invalid,raise correct exception from series.interpolate (#24014),raise accurate exception from series.interpolate (#24014),bug: series.interpolate() raises inaccurate exception when invalid arguments are provided, Improve error handling in series.interpolate for invalid arguments,series.interpolate raises more accurate exceptions for invalid arguments
" fixing the led code in my keymap to use both leds on the pro micro. before, it was incorrectly using pin b5 instead of d5. edited the led driving code to accurately use the leds on pins b0 and d5 instead of b0 and b5 as my previous code was doing. fixing use of incorrect pins for leds in my keymap. my code follows the code style of this project. i have read the contributing document. ", fixing led pins to accurately use the pro micro leds  fixing trailing whitespace ,,mf68 keymap led pins fixed,fixing led driving code in keymap,fixing my keymap to use pro micro leds,fixing led pins to accurately use the pro micro leds, Fixing LED Pin Usage in Pro Micro Keymap,fixing led pin usage in keymap
 don't checkout llvm-project don't require cmake and ninja fixes #78564 , don't checkout llvm-project when the llvm backend isn't built  don't require cmake and ninja when the llvm backend is not used , bootstrap: don't mandate cmake and ninja when the llvm backend is disabled ,misc rustbuild improvements when the llvm backend isn't used,don't checkout llvm-project when the llvm backend isn't built,don't require cmake and ninja when the llvm backend is disabled,update bootstrap to not require cmake and ninja when llvm backend is disabled, remove unnecessary requirements for cmake and ninja in llvm backend bootstrap,simplify the llvm bootstrap
" following the release of mistral-v1, we are pushing a draft pr with the stability fixes we made for training gpt-2 models directly to the base gpt-2 class definition (ensuring backwards compatibility). this is in line with the following issues: stanford-crfm/mistral#86: enabling sharing mistral checkpoints via hf hub (@osanseviero) #13463: upcasting scaled dot-product attention + layerwise scaling for stability (@lvwerra) concretely we implement: weight initialization from the original gpt-2 paper (by default, shouldn't affect folks unless they are training gpt-2 models from scratch) layer-wise scaling in scaled dot-product attention (optional flag; necessary for running/loading mistral gpt-2 models) scaled dot-product attention reordering (scale before dot-product) & fp32 upcasting when training in mixed precision (optional flag; only necessary for training new mistral/other gpt-2 models). this is a draft pr to aid in @lvwerra and @thomwolf's work training gpt-2 models stably; we plan on implementing tests (please let us know potential pain points), adding documentation, and will act on any other feedback you have . cc mistral team: @lorr1, @j38, @santhnm2 cc others at hf + gpt-2 model reviewers: @stas00, @patrickvonplaten, @lysandrejik resolves #13463 ", add layer-wise scaling  add reorder & upcasting argument  add layer scaling & upcast/reordering flags + functionality  add openai gpt-2 weight initialization scheme  openai gpt-2 initialization , upcasting of attention computation for reliable pretraining of gpt-2 models ,add mistral gpt-2 stability tweaks,gpt-2 weight initialization for reordering & upcasting,add support for training gpt-2 models stably,"stability fixes for gpt-2 training: weight initialization, layer-wise scaling, and upcasting"," Stability fixes for GPT-2 training - weight initialization, layer scaling, and attention upcasting","gpt-2: layer-wise scaling, upcasting, and reordering for mixed precision training"
" a proposed fix for #4802 i added 'replay' option to the playtoggle component. change has been verified in an actual browser (chome, firefox, ie) example created (starter template on jsbin) ", sync with origin branch  merge remote-tracking branch 'upstream/master'  merge remote-tracking branch 'upstream/master'  merge remote-tracking branch 'upstream/master'  merge remote-tracking branch 'upstream/master'  merge remote-tracking branch 'upstream/master'  merge remote-tracking branch 'upstream/master'  feat: add 'replay' option to the playtoggle component ,,add 'replay' option to the playtoggle component.,add'replay' option to playtoggle component,add'replay' option to playtoggle component,add'replay' option to the playtoggle component, add 'replay' option to the playtoggle component,add 'replay' option to the playtoggle component
 centralize all options at the root for easier discovery. renaming all_the_debug_macros  ->  enable_all_the_debug_macros for consistency with the rest of the options. making this enable_all_the_debug_macros an option makes it visible to users and tooling and formalize the type of the argument. making this build_lagoms an option makes it visible to users and tooling and formalize the type of the argument. , cmake: consolidate all options to the root of the project  cmake: remove some trailing whitespace from a few cmakelists.txt files ,,consolidate and document all options to the root of the project,cmake: consolidate all options to the root of the project,centralize all options to the root of the project,Consolidate all options to the root of the project for easier discovery, Consolidate and rename CMake options for better visibility and consistency,Consolidate all options to the root of the project
 this migrates all of our unit tests that were previously suffixed with .unit.test.js to a single test/unit folder removing the redundant suffix. a root tsconfig.json has also been added to enable type checking the newly converted tests to help prevent test errors from incorrect usage. , move unit tests to one folder  migrate unit tests to typescript ,,move unit tests to one folder and migrate them to typescript,migrate unit tests to one folder,migrate unit tests to typescript,Migrate unit tests to a single test/unit folder and enable type checking, migrate unit tests to typescript and consolidate test folder,move unit tests to test/unit and convert to typescript
" #39105 removed the normal unit testing from ci in favor of bazel, but the staging repos don't have build files in them because bazel choked on it.  this meant that unit tests weren't being run in ci (even though make test did it).  this restores the staging tests. @ixdy @spxtr since you were on the initial issue @liggitt @kubernetes/rh-cluster-infra thanks to @cheftako for finding it. ", fix up broken tests  restore unit testing for the staging repos ,,restore unit testing for staging repos,restore unit testing for staging repos,restore unit testing for the staging repos,add staging unit tests back to ci, restore unit testing for staging repos in ci,restore unit tests for the staging repos
" adds a bash script to automate changing into each of the examples/ directories and try to run npm i and gatsby build. this script is useful for trying to identify which of the example sites aren't working with the latest version of gatsby (using the next tag). some caveats: this script is slow. it currently takes hours to run, because it's building each example individually. some of the builds will fail because the folder structure for that example is different. e.g., examples/creating-source-plugins/ contains multiple gatsby sites, each in their own folder. this script won't catch all those edge cases. it's mainly an attempt to handle all the easy cases, while identifying individual failing examples that need to be investigated manually. examples/readme.md sc-38579 "," chore: delete outdated recipes examples  revert ""chore: delete outdated recipes examples""  this reverts commit 2dcb7858e149c754f9d31b7d9e8b03d7dd1fca31.  wip: attempt a build script in node (works for small subsets of examples)  chore: replace node build script with bash script (fixes parallelization crashing)  chore: improve documentation in build script ",,add a bash script to test building out examples,fix parallelization crashing in node,add bash script to automate changing into each of the examples,adds a bash script to automate changing into each of the examples/ directories and try to run npm i and gatsby build, chore: add bash script to automate building gatsby examples,
 follow the advice from the readme. avoid common mistakes. run npm run lint package-name (or tsc if no tslint.json is present). provide a url to documentation or source code which provides context for the suggested changes: since this pr #19777 got closed i picked it to provide the same fix increase the version number in the header if appropriate. i am not sure this is needed. i can fix it after code review note: i am quite new to typescript , fix onchange and onblur parameters  add semicolon  fix definition ,,redux form onchange onblur fix,fix onchange and onblur parameters,fix onchange and onblur parameters,fix definition and parameters for onchange and onblur, fix onchange and onblur parameters for pr #19777,[@types/react] fix onchange and onblur parameters
" this pr: lets you do python runner.py --help moves some potentially printing code into if __name__ == '__main__' prints help text as soon as possible, so some warnings will come after it lets you run tests from multiple suites on the same command line (e.g. python runner.py other.test_sixtyfour_bit_return_value asm2.test_time) and lists any missing tests - previously it just refused to run anything ensures that if you have 256 test failures it won't come back as 0! ", teach test runner about --help  try to execute less if importing the test runner  print help text first for a better chance of seeing warnings ,,allow running tests from different suites,teach test runner about --help,teach test runner how to print help text,rename cli flags to subcommands, Add --help option and improve test runner usability,"runner: improve --help, bug fixes"
 reduce many overheads in saving and loading multi-threading save and load still use text format. binary format will be added after this pr. both saving and loading are about 10x faster now. , remove protobuf  add version number  remove pmml script  use float for split gain  fix warnings  refine the read model logic of gbdt  fix compile error  improve decode speed  fix some bugs  fix double accuracy problem  fix bug  multi-thread save model  speed up save model to string  parallel save/load model  fix some warnings. ,,speed up saving and loading model,save and load multi-threading save and load,reduce overheads in saving and loading,fix multi-threading save and load performance, Speed up multi-threaded save/load model operations,speed up save/load model
" see #18751 for more info on the bug. this changes the ref counting protocol to make sure that workers report any nested objectrefs that are still in scope. the main issue is that we need to make sure to eventually clean up all objectrefs that have gone out of python scope, but we also need to make sure to account for all nested objectrefs that might still be in scope. this pr uses a per-object flag to indicate whether it has any nested objectrefs that might still be in scope. the flag gets updated recursively whenever a nested objectref is used. when an object ref goes out of scope and the borrower responds to the waitforrefremoved rpc, the reply includes all nested refs and we reset the flag. then, we just have to make sure not to delete an objectref if its flag is set. this should not result in any additional messages, but individual messages may be larger because they can include object refs that have already gone out of scope and don't need to be reported. i chose not to optimize this for now. closes #18751. i've run scripts/format.sh to lint the changes in this pr. "," fix assertion crash  test, lint  todo  tests  protocol  test  fix  lint  header  recursive  note  forward test ", [bug] ref count safety bug when inlining objectrefs or deserializing objectrefs multiple times ,fix bug in ref counting protocol for nested objects,ref count safety bug when inlining objectrefs or deserializing objectrefs multiple times,ref count safety bug when inlining objectrefs or deserializing objectref objects multiple times,fix ref counting protocol to account for nested objectrefs, fix ref counting safety bug for nested objectrefs,fix ref counting assertion check when handling nested objectrefs
" adding types declaration for module slashy   add or edit tests to reflect the change. (run with npm test.) follow the advice from the readme. avoid common mistakes. run npm run lint package-name (or tsc if no tslint.json is present). the package does not already provide its own types, or cannot have its .d.ts files generated via --declaration create it with dts-gen --dt, not by basing it on an existing project. represents shape of module/library correctly tslint.json should be present and it shouldn't have any additional or disabling of rules. just content as { ""extends"": ""dtslint/dt.json"" }. if for reason the some rule need to be disabled, disable it for that line using // tslint:disable-next-line [rulename]  and not for whole package so that the need for disabling can be reviewed. tsconfig.json should have noimplicitany, noimplicitthis, strictnullchecks, and strictfunctiontypes set to true. ", add splashy types definitions  add splashy test ,,add types declaration for module splashy,add types declaration for module slashy,add types declaration for slashy,add types declaration for module slashy, add types for splashy module,add types for module slashy
" abstract introduces a new option --fragment-retries for retrying fragments in fragment based downloaders (yet dash segments only) with default value of 10 retry attemps. rationale youtube may often return 404 http error for a fragment in dash segments downloader causing the whole download to fail. however if the same fragment is immediately retried with the same request data this usually succeeds (1-2 attemps is usually enough for success) thus allowing to download the whole file successfully. so, we will retry all fragments that fail with 404 http error for now. example urls example videos i've been able to reproduce failing fragments with: rtwddp2uiu0 imiqwgpbquq. videos uploaded to youtube in a last hour are also very likely to be dash segments with failing fragments. demo here is how it looks in action: > py26yt -v  deleting original file test online game. bigdaimon vs _shepherd-imiqwgpbquq.f160.mp4 (pass -k to keep) deleting original file test online game. bigdaimon vs _shepherd-imiqwgpbquq.f140.m4a (pass -k to keep) further improvements this can be adopted for other fragment based downloaders if necessary. "," [options] add --fragment-retries option  [downloader/fragment] add report_retry_fragment  [downloader/dash] add fragment retry capability  youtube may often return 404 http error for a fragment causing the  whole download to fail. however if the same fragment is immediately  retried with the same request data this usually succeeds (1-2 attemps  is usually enough) thus allowing to download the whole file successfully.  so, we will retry all fragments that fail with 404 http error for now.  [downloader/{common,fragment}] fix total retries reporting on python 2.6  [downloader/fragment] document fragment_retries ",,add --fragment-retries option (fixes #8466),add fragment retries option for fragment based downloaders,add --fragment-retries option for fragment based downloaders,add --fragment-retries option for retrying fragments in fragment based downloaders, add --fragment-retries option for retrying fragments in dash segments,add --fragment-retries option for dash downloader
" test sharding appears to have been broken by commit 87cc788. the result being that many tests are simply not run when sharding is enabled. the issue seems to be that the filtering for sharding is happening twice, once in tensorflow/python/platform/googletest.py and then once again in external/absl_py/absl/testing/absltest.py. this commit fixes the issue by removing the shard filtering code in googletest.py. fixes: #25594 "," fix test sharding  test sharding appears to have been broken by commit 87cc788.  the result  being that many tests are simply not run when sharding is enabled.  the issue seems to be that the filtering for sharding is happening  twice, once in tensorflow/python/platform/googletest.py and then once  again in external/absl_py/absl/testing/absltest.py.  this commit fixes  the issue by removing the shard filtering code in googletest.py.  fixes:  remove unused import of itertools ", test sharding appears to be broken ,fix test sharding version 2,"fix test sharding, remove unused import of itertools",fix test sharding and remove unused import of itertools,fix test sharding and remove unused import, fix test sharding and remove unused import of itertools,fix test sharding
" changes in this: if the old state was not present or not used, we set flag that says instead of calculating signature for a file (which is dts emit hash) use the version of file as the signature. this makes it so that initial compilation will not calculate the d.ts emit and next file change to the file will be treated as non local change and thats when the signatures for file reference dependency are calculated and it would probably result in emitting more files than necessary but thats the compromise for not having to spend cost for d.ts emit in the initial round. the next change to that file should be able to correctly detect local/non local change as before. 925e70e just updates tests to ensure we are testing the scenarios we intended. dd1cef2 is actual change and may be ideal to look at the changes as part of that commit. 69ebfe3 checks updates to the incremental correctness of the program, essentially signature is same as d.ts emit signature or version of the file. also exported modules map is checked in similar way. 44ba0ec reverts the compileonsave to old behavior of always computing signature this is simplified implementation of work in #42960 by @sokra there are more todos that we can improve on, eg if global file is changed, mark it for lazy signatures etc  but i think that each change should be separate change to be able to evaluate the perf impact and if needed revert it. potential improvements: global file change => resulting in emitting all files so could benefit from using signature as version certain number of new files percentage certain number of changed file percentage ", extra tests in preparation for lazy signature making sure the original intent of test is maintained  whenver we cant use state delay signature calculation and use source file version as signature  incremental correctness checks ,,do not calculate signatures if old state is not used,revert compileonsave to old behavior of always computing signature,always use the version of file as signature,fixes the issue with emit where in same file is emitted multiple times, Delay signature calculation for initial compilation and use source file version as signature,simplify signature calculation for d.ts emit
" adds support for via configurator to the southpaw fullsize by switchplate peripherals. adds support for via configurator to the southpaw fullsize my code follows the code style of this project: c, python i have read the pr checklist document and have made the appropriate changes. i have read the contributing document. "," begin work on spfs, migrating ancient config  qmk breaks if there's a dash in the board name  update info.json  make indicator leds work  build a readme  change title to match official gb thread name  add an ansi wkl layout for simplicity  adjustments as per pullreq recommendations  remove unused functions from other keymap  add via configurator support  remove layers to fix via  re-add extra via layers since it seems to work now  replace tabs with spaces  update readme.md ",,add via configurator support to southpaw fullsize,add via configurator support to the southpaw fullsize,add via configurator support to southpaw fullsize,adds support for via configurator to the southpaw fullsize, add via configurator support to southpaw fullsize by switchplate,add via configurator support to southpaw fullsize
" get things in a state where the stdlib build passes as well as tests, but do not actually enable constraint propagation yet. "," [constraint solver] disabling the shrink() pass results in new ambiguities.  one expression in this test becomes ambiguous when the shrink() pass is  disabled. enabling the constraint propagation pass disables the shrink  pass.  for now we'll run this with -propagate-constraints explicitly enabled  and with the expected output changed. this is a regression that will  need to be investigated and fixed in the solver.  [constraint solver] tweak test based on using a bit more memory for -propagate-constraints.  this test is trying to confirm that memory usage is independent and that  follow-on expressions do not fail just because of the first failure, and  now we naturally fail on another expression because of the additional  memory used for -propagate-constraints.  tweak the test to bump up the threshold and swap the order of  expressions so that the now-failing expression is first.  [constraint solver] fix memory corruption issue.  we use simplifyconstraint() to activate other constraints, and then  examine those constraints to find related disjunctions. in examining  those active constraints, we were simplifying them in case they  failed (which would allow us to bail out earlier). in doing so, we could  potentially generate new disjunctions when we simplify an unresolved  value member constraint. if we do that, we end up collecting these new  disjunctions as part of the set of related disjunctions, but that's  problematic because as part of exiting the solver scope to roll back  changes we delete these disjunctions from the system.  instead of actually simplifying the active constraints, just collect the  disjunctions and move the active constraints back to the inactive list.  with this change we can build the stdlib. ",,fixup some issues with constraint propagation,fix memory corruption issue in solver,enable -propagate-constraints in the stdlib build,"Get the constraint solver in a state where the stdlib build passes and tests pass, but do not enable constraint propagation yet.", Prepare for constraint propagation without enabling it yet,constraint solver updates for stdlib build
" this pr updates the bottom navigation semantics tests to use the matchessemantics api, which is the newer function for accomplishing the same as the previous tests. i added the following tests: 4 variants of semantics tests in the bottom navigation bar tests. before you create this pr confirm that it meets all requirements listed below by checking the relevant checkboxes ([x]). this will ensure a smooth and quick review process. i read the contributor guide and followed the process outlined there for submitting prs. i signed the cla. i read and followed the flutter style guide, including features we expect every widget to implement. i read the tree hygiene wiki page, which explains my responsibilities. i updated/added relevant documentation (doc comments with ///). the analyzer (flutter analyze --flutter-repo) does not report any problems on my pr. i am willing to follow-up on review comments in a timely manner. did any tests fail when you ran them? please read handling breaking changes. no, no existing tests failed, so this is not a breaking change. yes, this is a breaking change. if not, delete the remainder of this section. i wrote a design doc:  i got input from the developer relations team, specifically from: replace with the names of who gave advice i wrote a migration guide: ", update semantics tests ,,update bottom nav semantics tests to use matches semantics,update bottom navigation semantics tests,update bottom navigation semantics tests,update semantics tests for bottom navigation bar, Update Bottom Navigation Semantics Tests with MatchesSemantics API,update bottom navigation semantics tests
" hope this is fine. i replaced the star import in tests.serializers as ""explicit is better than..."" (and code validators like pyflakes don't work very well with them). i also added a test that makes sure that all fields from the fields meta-attribute are passed as expected. ", bye bye star import  added test that makes sure that fields with  dictionaries as data are returned as expected and  not turned into string representations  added test for modelserializer meta fields  returning as expected ,,"tests for pull #358 ""return dictionaries as is""",bye bye star import added test for meta fields returning as expected,replaced star import in tests.serializers and added test,add support for model serializer meta fields, replace star imports with explicit imports in tests and add missing field validation tests,fix star import in tests.serializers
 small fixes in the readme conform to the current version of the boilerplate. updated jquery to version 3.1.1 and updated some dependencies to their latest versions. , fixed small grammar error  replaced .jade with .pug  small changes conform to the current version of the app  small changes conform to the current version of the app  updated jquery to version 3.1.1  updated jquery to version 3.1.1  updated some dependencies ,,update readme conform to current version & other small updates,small fixes in the readme,small fixes in the jquery readme,fixes in the readme conform to the current version of the boilerplate, updated jquery and dependencies in boilerplate,small updates
" there are some random failures of apiv3 tests during ci on github (github actions). this is probably caused by clashes of computed identifier of test documents. these clashes probably arise in very fast (or parallel) test execution, when test documents get the same timestamp. this pr tries to solve this by isolating test documents, which is achieved by using different device name in different test file. ", apiv3: isolating documents from tests (not allowing clashes of calculated identifiers)  removing unused async keyword ,,trying to fix random fail of apiv3 tests,apiv3 tests are not allowing clashes of computed identifiers,separating documents from tests (not allowing clashes of calculated identifiers),fix apiv3 test failures due to computed identifier clashes, fix random failures in apiv3 tests by isolating test documents,fix apiv3 tests clashes of computed identifier
